,,,,,,,,,,
School,Common name,Nickname,City,State,Type,Subdivision,Former Div.,New conference,Reclassifying,Full member
University of West Georgia,West Georgia,Wolves,Carrollton,GA,Public,FCS,II,ASUN Conference,2024,2028
