,,,,,,,
School,Common Name,Teams,Location,State,Type,Division,D-I Sports
Kutztown University of Pennsylvania,Kutztown,Golden Bears,Kutztown,PA,Public,II,1
Lakeland University,Lakeland,Muskies,Plymouth,WI,Private,III,1
Lake Superior State University,Lake Superior State,Lakers,Sault Sainte Marie,MI,Public,II,1
Lawrence University,Lawrence,Vikings,Appleton,WI,Private,III,1
Lees–McRae College,Lees–McRae,Bobcats,Banner Elk,NC,Private,II,1
Lewis University,Lewis,Flyers,Romeoville,IL,Private,II,2
Limestone University,Limestone,Saints,Gaffney,SC,Private,II,1
Lincoln Memorial University,Lincoln Memorial,Railsplitters,Harrogate,TN,Private,II,3
Livingstone College,Livingstone,Blue Bears,Salisbury,NC,Private,II,1
Lock Haven University of Pennsylvania,Lock Haven,Bald Eagles,Lock Haven,PA,Public,II,2
Macalester College,Macalester,Scots,Saint Paul,MN,Private,III,1
Marian University,Marian,Sabres,Fond du Lac,WI,Private,III,1
Maryville University of Saint Louis,Maryville,Saints,Town and Country,MO,Private,II,2
Massachusetts Institute of Technology,MIT,Engineers,Cambridge,MA,Private,III,4
Massachusetts Maritime Academy,Mass Maritime,Buccaneers,Buzzards Bay,MA,Public,III,1
McKendree University,McKendree,Bearcats,Lebanon,IL,Private,II,5
Medaille College,Medaille,Mavericks,Buffalo,NY,Private,III,1
Mercyhurst University,Mercyhurst,Lakers,Erie,PA,Private,II,5
Michigan Technological University,Michigan Tech,Huskies,Houghton,MI,Public,II,2
Middlebury College,Middlebury,Panthers,Middlebury,VT,Private,III,1
"Minnesota State University, Mankato",Minnesota State,Mavericks,Mankato,MN,Public,II,2
Missouri University of Science and Technology,Missouri S&T,Miners,Rolla,MO,Public,II,1
Molloy University,Molloy,Lions,Rockville Centre,NY,Private,II,1
Morehouse College,Morehouse,Maroon Tigers,Atlanta,GA,Private,II,1
Mount Aloysius College,Mount Aloysius,Mounties,Cresson,PA,Private,III,1
New Jersey City University,NJCU,Gothic Knights,Jersey City,NJ,Public,III,1
New York University,NYU,Violets,New York,NY,Private,III,1
North Central College,North Central,Cardinals,Naperville,IL,Private,III,1
Northern Michigan University,Northern Michigan,Wildcats,Marquette,MI,Public,II,2
North Greenville University,North Greenville,Crusaders,Tigerville,SC,Private,II,1
Occidental College,Occidental,Tigers,Los Angeles,CA,Private,III,2
Oklahoma Christian University,Oklahoma Christian,Eagles,Oklahoma City,OK,Private,II,1
Palm Beach Atlantic University,Palm Beach Atlantic,Sailfish,West Palm Beach,FL,Private,II,1
Pennsylvania State University Altoona,Penn State Altoona,Nittany Lions,Altoona,PA,Public,III,1
"Pennsylvania State University Erie, The Behrend College",Penn State Erie,Lions,Erie,PA,Public,III,3
Pennsylvania Western University Clarion,Clarion,Golden Eagles,Clarion,PA,Public,II,1
Pennsylvania Western University Edinboro,Edinboro,Fighting Scots,Edinboro,PA,Public,II,1
Pomona College and Pitzer College,Pomona-Pitzer,Sagehens,Claremont,CA,Private,III,2
Plymouth State University,Plymouth State,Panthers,Plymouth,NH,Public,III,1
Post University,Post,Eagles,Waterbury,CT,Private,II,2
Principia College,Principia,Panthers,Elsah,IL,Private,III,1
"Queens College, City University of New York",Queens (New York),Knights,New York,NY,Public,II,2
Quincy University,Quincy,Hawks,Quincy,IL,Private,II,2
Rensselaer Polytechnic Institute,RPI,Engineers,Troy,NY,Private,III,2
Rhode Island College,Rhode Island College,Anchormen,Providence,RI,Public,III,1
Roberts Wesleyan University,Roberts Wesleyan,Redhawks,North Chili,NY,Private,II,1
Rochester Institute of Technology,RIT,Tigers,Henrietta,NY,Private,III,2
Rose–Hulman Institute of Technology,RHIT,Fightin' Engineers,Terre Haute,IN,Private,III,1
Saint Anselm College,Saint Anselm,Hawks,Goffstown,NH,Private,II,2
Saint Augustine's University,St. Augustine's,Falcons,Raleigh,NC,Private,II,1
Saint Cloud State University,St. Cloud State,Huskies,Saint Cloud,MN,Public,II,3
Saint Lawrence University,St. Lawrence,Saints,Canton,NY,Private,III,3
Saint Leo University,Saint Leo,Lions,Saint Leo,FL,Private,II,1
Saint Michael's College,Saint Michael's,Purple Knights,Colchester,VT,Private,II,2
Saint Olaf College,St. Olaf,Oles,Northfield,MN,Private,III,1
Saint Thomas Aquinas College,St. Thomas Aquinas,Spartans,Sparkill,NY,Private,II,1
Saint Vincent College,Saint Vincent,Bearcats,Unity,PA,Private,III,1
Salem University,Salem,Tigers,Salem,WV,Private,II,2
Shaw University,Shaw,Bears,Raleigh,NC,Private,II,1
Simpson College,Simpson,Storm,Indianola,IA,Private,III,2
Smith College,Smith,Pioneers,Northampton,MA,Private,III,1
Southern Connecticut State University,Southern Connecticut,Owls,New Haven,CT,Public,II,1
Southern New Hampshire University,SNHU,Penmen,Manchester,NH,Private,II,1
Springfield College,Springfield,Pride,Springfield,MA,Private,III,2
Spring Hill College,Spring Hill,Badgers,Mobile,AL,Private,II,1
State University of New York College at Brockport,Brockport,Golden Eagles,Brockport,NY,Public,III,1
State University of New York College at Cortland,Cortland,Red Dragons,Cortland,NY,Public,III,1
State University of New York Maritime College,Maritime,Privateers,New York,NY,Public,III,1
Stevens Institute of Technology,Stevens,Ducks,Hoboken,NJ,Private,III,2
